tempo,temp,h,vazao,vazaoideal,tempideal+
152,54.948678840233185,78.17752438194773,0.07768800405241562,0.084, 57.0
153,54.92429341879422,79.38499358658392,0.07828868316394588,0.084, 57.0
154,54.90036116283625,80.60470065436309,0.07889095954029321,0.084, 57.0
155,54.8768758709887,81.83646985646276,0.07949470756787565,0.084, 57.0
156,54.85383052529363,83.08015016623979,0.08009980796947444,0.084, 57.0
157,54.831217683998695,84.33560304827567,0.08070615697103412,0.084, 57.0
158,54.8090294777004,85.60270518364673,0.0813136598548166,0.084, 57.0
159,54.78586915392244,86.87461818353222,0.0819222319422384,0.084, 57.0
160,54.76148538844053,88.15022138753572,0.08252860150026127,0.084, 57.0
161,54.735884907581564,89.42961107698072,0.08313228829271332,0.084, 57.0
162,54.709076750403625,90.71287782518696,0.0837333954192429,0.084, 57.0
163,54.681065722712326,92.00012455610236,0.08433202014356503,0.084, 57.0
164,54.65018361844058,93.26169180020408,0.08492826246426113,0.084, 57.0
165,54.77320750021443,93.63446490984357,0.08550857639521313,0.084, 57.0
166,54.89599469791534,94.00955985359342,0.08567929766829172,0.084, 57.0
167,55.017845054572604,94.38479194707483,0.08585073961546123,0.084, 57.0
168,55.13877850580407,94.76019073866763,0.08602190237753794,0.084, 57.0
169,55.258812864547124,95.13578044604486,0.08619280105618765,0.084, 57.0
170,55.37796849543203,95.5115947791142,0.08636344821143907,0.084, 57.0
171,55.496266212899265,95.88767045552551,0.08653386060197797,0.084, 57.0
172,55.61291632128786,96.26139060813408,0.08670405621257404,0.084, 57.0
173,55.727778234319445,96.63219966791318,0.08687285550548982,0.084, 57.0
174,55.84075697207809,96.99967884567685,0.08704001639455496,0.084, 57.0
175,55.95173483385647,97.36332307955112,0.08720536005029202,0.084, 57.0
176,56.060559028674334,97.72249662172447,0.08736867018237607,0.084, 57.0
177,56.16703648450985,98.07641133375554,0.08752967345502438,0.084, 57.0
178,56.270917052074275,98.42406468519944,0.08768803024681553,0.084, 57.0
179,56.37186722654824,98.76414295576338,0.08784330749305627,0.084, 57.0
180,56.46944963323265,99.0949413421175,0.08799493626187731,0.084, 57.0
181,56.563067224491085,99.41415893837781,0.08814217719810427,0.084, 57.0
182,56.651892953771956,99.71863703979535,0.08828403061012122,0.084, 57.0
183,56.73478452678231,100.0040392800291,0.08841912204902262,0.084, 57.0
184,56.810134110178645,100.2642970049612,0.08854556273215661,0.084, 57.0
185,56.87569777045727,100.49097876217235,0.08866070654573513,0.084, 57.0
186,56.928646252667974,100.67346253563522,0.08876087389697283,0.084, 57.0
187,56.96617941837928,100.80117973002149,0.08884142875254654,0.084, 57.0
188,56.987550778807964,100.87100907620294,0.08889776426229,0.084, 57.0
189,56.99644091568753,100.89595533504887,0.08892855059863683,0.084, 57.0
190,56.999128341510065,100.89856139208034,0.08893954631246907,0.084, 57.0
191,56.99979818128151,100.89389748010947,0.08894069492161111,0.084, 57.0
192,56.99995396823131,100.88738132259544,0.08893863931071007,0.084, 57.0
193,56.99998953990357,100.8804322080909,0.08893576724631931,0.084, 57.0
194,56.99999762555097,100.8733842999038,0.08893270424941732,0.084, 57.0
195,56.99999946122526,100.86631412061965,0.08892959759895723,0.084, 57.0
196,56.99999987778351,100.85923907670264,0.08892648102256481,0.084, 57.0
197,56.999999972283106,100.8521631207765,0.0889233621924716,0.084, 57.0
198,56.99999999371573,100.84508714987858,0.08892024285093286,0.084, 57.0
199,56.999999998575504,100.83801136752483,0.08891712339336266,0.084, 57.0
200,56.99999999967718,100.83093581987622,0.08891400390947395,0.084, 57.0
201,56.99999999992685,100.82386051740032,0.0889108844196159,0.084, 57.0
202,56.99999999998343,100.81678546247026,0.08890776492840312,0.084, 57.0
203,56.999999999996255,100.80971065562387,0.08890464543688181,0.084, 57.0
204,56.99999999999915,100.802636096983,0.0889015259452891,0.084, 57.0
205,56.99999999999981,100.7955617865753,0.08889840645367873,0.084, 57.0
206,56.99999999999996,100.78848772440706,0.08889528696206288,0.084, 57.0
207,56.999999999999986,100.78141391047963,0.08889216747044429,0.084, 57.0
208,57.00000000000001,100.7743403447934,0.0888890479788236,0.084, 57.0
209,57.0,100.7672670273484,0.08888592848720096,0.084, 57.0
210,56.99999999999999,100.76019395814463,0.08888280899557638,0.084, 57.0
211,57.00000000000001,100.75312113718213,0.0888796895039499,0.084, 57.0
212,56.99999999999999,100.74604856446089,0.08887657001232147,0.084, 57.0
213,57.0,100.73897623998091,0.08887345052069114,0.084, 57.0
214,57.00000000000001,100.73190416374217,0.08887033102905888,0.084, 57.0
215,56.999999999999986,100.72483233574471,0.08886721153742468,0.084, 57.0
216,56.99999999999999,100.71776075598854,0.08886409204578859,0.084, 57.0
217,56.99999999999999,100.71068942447359,0.08886097255415058,0.084, 57.0
218,56.999999999999986,100.70361834119988,0.08885785306251064,0.084, 57.0
219,56.99999999999999,100.69654750616748,0.08885473357086876,0.084, 57.0
220,57.0,100.68947691937629,0.08885161407922498,0.084, 57.0
221,56.99999999999999,100.68240658082635,0.08884849458757926,0.084, 57.0
222,56.99999999999999,100.67533649051768,0.08884537509593163,0.084, 57.0
223,56.99999999999999,100.66826664845027,0.08884225560428206,0.084, 57.0
224,56.999999999999986,100.66119705462413,0.08883913611263057,0.084, 57.0
225,57.00000000000001,100.65412770903927,0.08883601662097716,0.084, 57.0
226,57.0,100.64705861169564,0.08883289712932185,0.084, 57.0
227,57.00000000000001,100.63998976259325,0.08882977763766461,0.084, 57.0
228,56.99999999999999,100.63292116173213,0.08882665814600542,0.084, 57.0
229,56.999999999999986,100.62585280911227,0.08882353865434432,0.084, 57.0
230,57.00000000000001,100.61878470473371,0.08882041916268131,0.084, 57.0
231,56.99999999999999,100.61171684859637,0.08881729967101637,0.084, 57.0
232,56.99999999999999,100.6046492407003,0.0888141801793495,0.084, 57.0
233,57.0,100.59758188104547,0.0888110606876807,0.084, 57.0
234,57.0,100.5905147696319,0.08880794119600997,0.084, 57.0
235,57.0,100.58344790645957,0.08880482170433732,0.084, 57.0
236,57.0,100.5763812915285,0.08880170221266274,0.084, 57.0
237,57.0,100.56931492483871,0.08879858272098623,0.084, 57.0
238,57.00000000000001,100.56224880639017,0.08879546322930781,0.084, 57.0
239,57.0,100.55518293618292,0.08879234373762747,0.084, 57.0
240,56.99999999999999,100.5481173142169,0.0887892242459452,0.084, 57.0
241,56.99999999999999,100.54105194049215,0.08878610475426099,0.084, 57.0
242,56.99999999999999,100.53398681500867,0.08878298526257487,0.084, 57.0
243,56.999999999999986,100.52692193776646,0.08877986577088681,0.084, 57.0
244,56.99999999999999,100.51985730876554,0.08877674627919685,0.084, 57.0
245,56.99999999999999,100.51279292800584,0.08877362678750497,0.084, 57.0
246,57.0,100.5057287954874,0.08877050729581112,0.084, 57.0
247,57.0,100.49866491121021,0.08876738780411539,0.084, 57.0
248,57.0,100.49160127517429,0.0887642683124177,0.084, 57.0
249,57.00000000000001,100.48453788737962,0.08876114882071809,0.084, 57.0
250,56.99999999999999,100.47747474782624,0.08875802932901655,0.084, 57.0
251,57.0,100.4704118565141,0.0887549098373131,0.084, 57.0
252,57.0,100.46334921344322,0.08875179034560772,0.084, 57.0
253,57.0,100.4562868186136,0.0887486708539004,0.084, 57.0
254,57.00000000000001,100.44922467202525,0.08874555136219116,0.084, 57.0
255,56.999999999999986,100.44216277367818,0.08874243187047998,0.084, 57.0
256,57.0,100.43510112357241,0.08873931237876688,0.084, 57.0
257,57.0,100.42803972170785,0.08873619288705188,0.084, 57.0
258,57.0,100.42097856808455,0.08873307339533493,0.084, 57.0
259,57.0,100.41391766270252,0.08872995390361606,0.084, 57.0
260,57.0,100.40685700556175,0.08872683441189524,0.084, 57.0
261,57.0,100.39979659666224,0.08872371492017252,0.084, 57.0
262,57.0,100.392736436004,0.08872059542844783,0.084, 57.0
263,57.0,100.38567652358702,0.08871747593672126,0.084, 57.0
264,57.0,100.37861685941131,0.08871435644499273,0.084, 57.0
265,57.0,100.37155744347686,0.08871123695326229,0.084, 57.0
266,57.0,100.36449827578367,0.08870811746152991,0.084, 57.0
267,57.0,100.35743935633175,0.0887049979697956,0.084, 57.0
268,56.99999999999999,100.3503806851211,0.08870187847805935,0.084, 57.0
269,57.0,100.34332226215172,0.0886987589863212,0.084, 57.0
270,57.0,100.33626408742359,0.0886956394945811,0.084, 57.0
271,57.0,100.32920616093672,0.08869252000283907,0.084, 57.0
272,57.00000000000001,100.32214848269112,0.08868940051109511,0.084, 57.0
273,57.00000000000001,100.31509105268681,0.08868628101934924,0.084, 57.0
274,56.99999999999999,100.30803387092377,0.08868316152760143,0.084, 57.0
275,56.99999999999998,100.30097693740198,0.0886800420358517,0.084, 57.0
276,56.99999999999999,100.29392025212152,0.08867692254410002,0.084, 57.0
277,57.0,100.28686381508227,0.08867380305234646,0.084, 57.0
278,57.0,100.27980762628427,0.08867068356059093,0.084, 57.0
279,57.00000000000001,100.27275168572753,0.08866756406883347,0.084, 57.0
280,56.99999999999999,100.26569599341208,0.08866444457707406,0.084, 57.0
281,57.0,100.2586405493379,0.08866132508531276,0.084, 57.0
282,57.0,100.25158535350496,0.0886582055935495,0.084, 57.0
283,57.00000000000001,100.2445304059133,0.08865508610178431,0.084, 57.0
284,57.00000000000001,100.23747570656292,0.0886519666100172,0.084, 57.0
285,56.99999999999999,100.2304212554538,0.08864884711824816,0.084, 57.0
