tempo,temp,h,vazao,vazaoideal,tempideal+
587,57.001490456507526,91.80037869831952,0.08483601424735099,0.084, 57.0
588,57.00149077429079,91.80038466891348,0.08483601646675928,0.084, 57.0
589,57.00149047239278,91.80038921206878,0.08483601922557905,0.084, 57.0
590,57.001489813273906,91.80039089540082,0.08483602132482518,0.084, 57.0
591,57.00148913687185,91.80038973365936,0.08483602210263884,0.084, 57.0
592,57.00148871033613,91.80038684474881,0.08483602156583543,0.084, 57.0
593,57.00148864110357,91.80038375693312,0.08483602023096268,0.084, 57.0
594,57.00148887243202,91.80038171805573,0.0848360188041822,0.084, 57.0
595,57.00148924392581,91.80038127555147,0.08483601786208243,0.084, 57.0
596,57.0014895782471,91.80038222758643,0.08483601765761543,0.084, 57.0
597,57.00148975407435,91.80038387722884,0.08483601809752021,0.084, 57.0
598,57.00148974014851,91.8003854195218,0.08483601885976699,0.084, 57.0
599,57.001489586322265,91.80038627977964,0.08483601957241105,0.084, 57.0
600,57.001489385181735,91.80038628312509,0.08483601996990857,0.084, 57.0
601,57.00148922603965,91.80038562891076,0.08483601997145439,0.084, 57.0
602,57.00148916096325,91.80038472558812,0.08483601966916296,0.084, 57.0
603,57.00148919323754,91.80038398286757,0.08483601925176658,0.084, 57.0
604,57.001489287509,91.8003836520353,0.08483601890857927,0.084, 57.0
605,57.00148939258873,91.80038376530582,0.08483601875571228,0.084, 57.0
606,57.00148946507408,91.80038417461033,0.08483601880805097,0.084, 57.0
607,57.001489484405916,91.80038465142039,0.08483601899717744,0.084, 57.0
608,57.001489455513415,91.80038499447438,0.08483601921749605,0.084, 57.0
609,57.00148940092756,91.80038510166597,0.08483601937601029,0.084, 57.0
610,57.00148934789648,91.80038498653728,0.08483601942554007,0.084, 57.0
611,57.00148931668294,91.80038474593229,0.08483601937234281,0.084, 57.0
612,57.001489314318476,91.80038450282211,0.08483601926116698,0.084, 57.0
613,57.00148933496658,91.80038435235402,0.08483601914883356,0.084, 57.0
614,57.001489365206496,91.80038433135775,0.08483601907930707,0.084, 57.0
615,57.00148939102985,91.80038441767817,0.08483601906960539,0.084, 57.0
616,57.001489403426866,91.80038455260767,0.08483601910949128,0.084, 57.0
617,57.001489400720054,91.80038467228123,0.08483601917183786,0.084, 57.0
618,57.001489387499404,91.80038473372424,0.08483601922713517,0.084, 57.0
619,57.00148937136934,91.8003847266751,0.08483601925552602,0.084, 57.0
620,57.00148935928509,91.80038466991567,0.08483601925226884,0.084, 57.0
621,57.00148935499944,91.80038459716454,0.08483601922604213,0.084, 57.0
622,57.001489358352984,91.80038454046394,0.08483601919242617,0.084, 57.0
623,57.00148936625227,91.8003845181091,0.08483601916622664,0.084, 57.0
624,57.00148937456026,91.80038453075156,0.0848360191558972,0.084, 57.0
625,57.00148937994979,91.80038456527787,0.08483601916173886,0.084, 57.0
626,57.00148938100807,91.80038460313385,0.08483601917769235,0.084, 57.0
627,57.0014893783378,91.80038462881548,0.0848360191951844,0.084, 57.0
628,57.0014893738508,91.80038463518484,0.08483601920705104,0.084, 57.0
629,57.00148936971774,91.8003846242873,0.08483601920999412,0.084, 57.0
630,57.00148936746336,91.80038460440522,0.08483601920495872,0.084, 57.0
631,57.0014893675245,91.800384585376,0.08483601919577186,0.084, 57.0
632,57.00148936933513,91.80038457440139,0.08483601918697906,0.084, 57.0
633,57.00148937178126,91.80038457386375,0.08483601918190804,0.084, 57.0
634,57.00148937376266,91.80038458152792,0.08483601918165963,0.084, 57.0
635,57.00148937461744,91.80038459249211,0.08483601918520098,0.084, 57.0
636,57.001489374277014,91.80038460171889,0.08483601919026718,0.084, 57.0
637,57.00148937315368,91.80038460602634,0.08483601919453058,0.084, 57.0
638,57.00148937186773,91.80038460489112,0.08483601919652092,0.084, 57.0
639,57.001489370957394,91.8003846000294,0.08483601919599637,0.084, 57.0
640,57.00148937068882,91.80038459420489,0.08483601919374992,0.084, 57.0
641,57.00148937101616,91.80038458990855,0.0848360191910586,0.084, 57.0
642,57.00148937167253,91.80038458845358,0.0848360191890734,0.084, 57.0
643,57.00148937232559,91.80038458974046,0.08483601918840111,0.084, 57.0
644,57.0014893727221,91.80038459262653,0.08483601918899573,0.084, 57.0
645,57.001489372767914,91.80038459561474,0.08483601919032929,0.084, 57.0
646,57.001489372527345,91.8003845975189,0.08483601919171005,0.084, 57.0
647,57.001489372161025,91.80038459785224,0.0848360191925899,0.084, 57.0
648,57.0014893718409,91.80038459685296,0.08483601919274393,0.084, 57.0
649,57.00148937168064,91.80038459522184,0.0848360191922822,0.084, 57.0
650,57.00148937170517,91.80038459374126,0.08483601919152851,0.084, 57.0
651,57.001489371861645,91.80038459295186,0.08483601919084437,0.084, 57.0
652,57.00148937205834,91.80038459299881,0.08483601919047962,0.084, 57.0
653,57.001489372209285,91.800384593668,0.08483601919050132,0.084, 57.0
654,57.001489372266505,91.80038459455339,0.08483601919081053,0.084, 57.0
655,57.001489372229706,91.80038459525997,0.08483601919121964,0.084, 57.0
656,57.00148937213519,91.80038459555482,0.08483601919154612,0.084, 57.0
657,57.00148937203326,91.80038459541964,0.08483601919168235,0.084, 57.0
658,57.001489371965285,91.80038459500776,0.0848360191916199,0.084, 57.0
659,57.00148937194976,91.80038459454414,0.08483601919142959,0.084, 57.0
660,57.001489371980426,91.80038459422124,0.08483601919121536,0.084, 57.0
661,57.00148937203456,91.80038459413169,0.08483601919106616,0.084, 57.0
